iter	RMSE
0	185.0098022
1	171.0311857
2	157.8556378
3	146.7121607
4	136.3499709
5	127.2485962
6	118.9877079
7	111.6430876
8	104.9527613
9	99.02932022
10	93.82953363
11	89.14752098
12	85.17910747
13	81.59914426
14	78.33877001
15	75.51776198
16	72.97999445
17	70.83509683
18	68.96502726
19	67.2594358
20	65.70516264
21	64.32293814
22	63.2011844
23	62.07512933
24	61.09750252
25	60.07997961
26	59.23198294
27	58.47353914
28	57.80249168
29	57.15510147
30	56.55746962
31	56.03538033
32	55.56907758
33	55.10355428
34	54.70927155
35	54.30734083
36	53.97638174
37	53.63701318
38	53.38048076
39	53.12195754
40	52.86055724
41	52.62976549
42	52.40318883
43	52.20854218
44	52.02900037
45	51.86344956
46	51.69396463
47	51.5505685
48	51.41256638
49	51.28395423
50	51.15823699
51	51.04594192
52	50.93947485
53	50.834025
54	50.74300677
55	50.65507792
56	50.58754565
57	50.50719708
58	50.43801607
59	50.37469079
60	50.31886426
61	50.2467668
62	50.19195417
63	50.14712326
64	50.09234889
65	50.03726909
66	49.98888153
67	49.95103344
68	49.90904826
69	49.86976394
70	49.83420038
71	49.805381
72	49.79118915
73	49.76080361
74	49.72937721
75	49.69760649
76	49.66662786
77	49.63901801
78	49.61351159
79	49.58887206
80	49.5666449
81	49.54585082
82	49.52755392
83	49.51188978
84	49.49764078
85	49.48393553
86	49.46803683
87	49.45248373
88	49.43820293
89	49.42070194
90	49.39878457
91	49.38311569
92	49.3663388
93	49.3521267
94	49.33423997
95	49.32331901
96	49.30767778
97	49.29649938
98	49.28547096
99	49.27242776
