iter	Passed	Remaining
0	18	1795
1	31	1555
2	43	1411
3	54	1314
4	65	1251
5	76	1200
6	87	1161
7	96	1106
8	103	1045
9	108	980
10	113	921
11	118	871
12	123	827
13	128	789
14	134	760
15	139	730
16	143	702
17	149	679
18	153	655
19	158	634
20	163	614
21	167	595
22	172	578
23	177	561
24	182	546
25	186	531
26	191	518
27	196	505
28	201	493
29	205	480
30	210	468
31	215	457
32	220	446
33	224	436
34	229	426
35	234	416
36	238	406
37	243	397
38	248	388
39	252	379
40	257	370
41	262	362
42	267	353
43	271	345
44	276	337
45	281	329
46	285	322
47	290	314
48	294	306
49	299	299
50	304	292
51	309	285
52	314	278
53	318	271
54	323	264
55	327	257
56	332	250
57	337	244
58	341	237
59	346	230
60	351	224
61	355	218
62	360	211
63	365	205
64	369	199
65	374	193
66	379	186
67	383	180
68	388	174
69	397	170
70	404	165
71	408	159
72	413	152
73	418	146
74	422	140
75	427	135
76	432	129
77	436	123
78	441	117
79	445	111
80	450	105
81	454	99
82	459	94
83	465	88
84	469	82
85	474	77
86	479	71
87	483	65
88	489	60
89	494	54
90	504	49
91	510	44
92	518	38
93	524	33
94	530	27
95	535	22
96	542	16
97	548	11
98	554	5
99	559	0
